name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист по системам видеоконференцсвязи,,,,Астана,2022-12-14T06:49:44+0300
Инженер-механик,,,,Зеленоград,2022-12-14T09:30:25+0300
Инженер-механик,,,,Актобе,2022-12-14T09:44:52+0300
Инженер-программист 1С,,,,Томск,2022-12-14T05:41:08+0300
Слесарь-ремонтник,30000,30000,RUR,Димитровград,2022-12-14T08:22:37+0300
Токарь,65000,70000,RUR,Санкт-Петербург,2022-12-14T11:08:07+0300
Наладчик станков с ЧПУ,60000,,RUR,Пермь,2022-12-14T10:43:04+0300
Токарь,105000,,RUR,Ростов-на-Дону,2022-12-14T08:49:43+0300
"Программист PHP/SQL, middle",,110000,RUR,Новосибирск,2022-12-14T09:03:33+0300
QA Engineer (Unified Computing Platform),,,,Тбилиси,2022-12-14T11:45:39+0300
Системный аналитик (Рекламная платформа),,,,Москва,2022-12-14T10:44:38+0300
Программист 1С,100000,,RUR,Геленджик,2022-12-14T10:57:07+0300
Программист BI,,,,Москва,2022-12-14T11:34:54+0300
Наладчик технологического оборудования,35000,40000,RUR,Барнаул,2022-12-14T08:31:53+0300
Системотехник,,55000,RUR,Курск,2022-12-14T09:13:57+0300
Оператор станка лазерной резки металла,45000,,RUR,Пенза,2022-12-14T10:09:50+0300
Инженер КИП и А,,,,Сергиев Посад,2022-12-14T09:00:14+0300
Токарь-расточник (Пермь),110000,,RUR,Верхняя Пышма,2022-12-14T09:26:26+0300
Токарь-универсал,40000,60000,RUR,Томск,2022-12-14T11:10:16+0300
Токарь,105000,,RUR,Краснодар,2022-12-14T08:49:35+0300
Механик по транспорту,,,,Нижневартовск,2022-12-14T10:02:02+0300
Токарь (Казань),103000,,RUR,Нижнекамск,2022-12-14T07:45:09+0300
Системотехник,23000,30000,RUR,Тамбов,2022-12-14T09:13:49+0300
Токарь,105000,,RUR,Саратов,2022-12-14T08:49:27+0300
Руководитель филиала,100000,,RUR,Самара,2022-12-14T10:06:56+0300
Токарь-расточник (Пермь),110000,,RUR,Каменск-Уральский,2022-12-14T09:26:26+0300
Токарь-расточник (Пермь),110000,,RUR,Пермь,2022-12-14T09:26:26+0300
Инженер технической поддержки СУБД Ред База Данных (Red Database),,,,Муром,2022-12-14T10:05:23+0300
Менеджер по развитию мобильного приложения и СДБО Банка,,,,Минск,2022-12-14T11:54:12+0300
QA Automation Mobile Engineer (Middle/Middle +),200000,250000,RUR,Москва,2022-12-14T09:28:48+0300
Android разработчик (Strong Middle/Senior),,25000000,UZS,Самарканд,2022-12-14T08:54:54+0300
Системный аналитик (Отдел проектирования информационно-управляющих систем),,,,Москва,2022-12-14T10:55:12+0300
Токарь-универсал,45000,,RUR,Томск,2022-12-14T11:10:25+0300
Шлифовщик по металлу,110000,,RUR,Тюмень,2022-12-14T08:45:15+0300
Фрезеровщик,60000,,RUR,Щелково,2022-12-14T09:01:09+0300
Инженер-механик по оборудованию,50000,50000,RUR,Томск,2022-12-14T11:13:52+0300
Наладчик станков с ЧПУ,80000,100000,RUR,Уфа,2022-12-14T07:57:36+0300
System Administrator,,,,Минск,2022-12-14T11:49:26+0300
Ведущий разработчик 1С,60000,,RUR,Саратов,2022-12-14T08:57:19+0300
Механик цеха,,,,Тверь,2022-12-14T11:50:22+0300
Токарь-расточник,100000,,RUR,Чебоксары,2022-12-14T09:11:32+0300
Токарь-расточник (Пермь),110000,,RUR,Октябрьский (Республика Башкортостан),2022-12-14T09:26:26+0300
Наладчик станков с ЧПУ,50000,,RUR,Челябинск,2022-12-14T08:52:42+0300
Наладчик станков и манипуляторов с программным управлением,,,,Санкт-Петербург,2022-12-14T09:19:15+0300
Ведущий инженер-программист,64600,,RUR,Архангельск,2022-12-14T10:09:54+0300
Инженер связи (стажер),20000,,RUR,Екатеринбург,2022-12-14T08:46:31+0300
Ведущий Java разработчик (Налоговый мониторинг),,,,Москва,2022-12-14T11:30:59+0300
DSP Compiler Developer for Exynos AI Accelerator,,,,Москва,2022-12-14T11:44:14+0300
Инженер-электронщик/разработчик/конструктор,30000,75000,RUR,Екатеринбург,2022-12-14T08:32:33+0300
Старший системный администратор (Республика Крым),,70000,RUR,Ростов-на-Дону,2022-12-14T10:49:12+0300
Ведущий менеджер по развитию систем обслуживания,,,,Санкт-Петербург,2022-12-14T08:56:36+0300
Инженер-технолог (программист),38000,,RUR,Северодвинск,2022-12-14T09:45:57+0300
Копирайтер/ Редактор/ Оператор обработки текста и ввода данных (удаленно),25000,70000,RUR,Томск,2022-12-14T07:58:58+0300
Программист 1С (Middle / Junior+),120000,,RUR,Екатеринбург,2022-12-14T06:18:07+0300
Битрикс-интегратор,,,,Алматы,2022-12-14T09:34:16+0300
Бизнес/системный аналитик 1С,,,,Москва,2022-12-14T10:08:07+0300
Токарь-расточник (Пермь),110000,,RUR,Ульяновск,2022-12-14T09:26:26+0300
Аналитик по управленческой отчетности,,,,Москва,2022-12-14T10:15:01+0300
Специалист по информационной безопасности,150000,,RUR,Москва,2022-12-14T09:43:26+0300
Токарь 4-6 разряд,,,,Челябинск,2022-12-14T11:56:56+0300
Middle C# developer,130000,,RUR,Иннополис,2022-12-14T08:22:24+0300
Программист 1С (junior),,,,Краснодар,2022-12-14T10:45:13+0300
Senior Frontend-разработчик (Marketplace),,,,Москва,2022-12-14T11:36:02+0300
Печатник / оператор печати (сувенирный уф принтер Roland lef 300),,70000,RUR,Москва,2022-12-14T10:11:01+0300
Старший системный администратор Linux / инженер внедрения,,,,Воронеж,2022-12-14T11:33:27+0300
Фрезеровщик,100000,150000,RUR,Ивантеевка,2022-12-14T09:32:47+0300
Шлифовщик (Ярославская область),100000,106000,RUR,Ярославль,2022-12-14T07:58:38+0300
Токарь-универсал 4-5 разряда,44856,46992,RUR,Челябинск,2022-12-14T07:15:32+0300
Разработчик/программист WebTutor,,,,Москва,2022-12-14T10:11:50+0300
Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры,27200,33600,RUR,Бийск,2022-12-14T04:22:11+0300
"PHP(Yii2) developer, Аккредитованная IT компания",150000,,RUR,Москва,2022-12-14T10:33:16+0300
Старший бизнес-аналитик,,,,Москва,2022-12-14T10:54:32+0300
Ведущий системный аналитик,,,,Уфа,2022-12-14T08:56:30+0300
Директор департамента ИТ,,,,Санкт-Петербург,2022-12-14T11:09:26+0300
Фрезеровщик,80000,,RUR,Саранск,2022-12-14T09:02:08+0300
Менеджер продаж it-продуктов (Junior),25000,35000,RUR,Екатеринбург,2022-12-14T08:48:36+0300
Разработчик 1С,,,,Пермь,2022-12-14T10:36:34+0300
Инженер планово-предупредительного ремонта (механик),40600,,RUR,Киров (Кировская область),2022-12-14T10:37:53+0300
Инсталлятор,,35000,RUR,Кимры,2022-12-14T09:25:32+0300
Токарь (Казань),103000,,RUR,Омск,2022-12-14T07:45:09+0300
Инженер-механик,,,,Долгопрудный,2022-12-14T09:30:25+0300
Начальник отдела разработки,,,,Москва,2022-12-14T09:30:54+0300
Наладчик станков и манипуляторов (фрезерные станки),,,,Минск,2022-12-14T08:35:03+0300
Backend Developer (PHP),,,,Москва,2022-12-14T09:17:55+0300
Шлифовщик (Ярославская область),100000,106000,RUR,Тутаев,2022-12-14T07:58:38+0300
Программист (ABAP-разработчик),,,,Москва,2022-12-14T11:02:31+0300
Фрезеровщик,60000,,RUR,Киров (Кировская область),2022-12-14T08:38:00+0300
Администратор технической поддержки,50000,,RUR,Северобайкальск,2022-12-14T04:34:22+0300
Инженер (ТОиР),,,,Зеленоград,2022-12-14T10:31:34+0300
2D художник-аниматор,,,,Армения,2022-12-14T11:17:18+0300
Инженер-программист БРЭО,,,,Санкт-Петербург,2022-12-14T09:58:47+0300
Специалист по технической поддержке 1С (товародвижение),90000,90000,RUR,Москва,2022-12-14T11:11:58+0300
Jun+/Middle/Middle- Golang Developer (Офис),,350000,RUR,Москва,2022-12-14T11:54:04+0300
Backend разработчик С++ в команду Транспорта,,,,Нижний Новгород,2022-12-14T05:59:10+0300
Главный Механик по тяжелой технике,150000,150000,RUR,Братск,2022-12-14T08:15:49+0300
Разработчик C++ (Linux),,,,Москва,2022-12-14T09:40:15+0300
Оператор ЧПУ,86000,,RUR,Самара,2022-12-14T09:05:24+0300
Токарь-расточник (Пермь),110000,,RUR,Первоуральск,2022-12-14T09:26:26+0300
Инженер технической поддержки,,,,Москва,2022-12-14T10:53:18+0300
Инженер-программист по автоматизации и СМ,75000,100000,RUR,Владивосток,2022-12-14T01:46:35+0300
Программист 1С,100000,,RUR,Смоленск,2022-12-14T08:17:02+0300
Руководитель проекта,,,,Москва,2022-12-14T11:42:26+0300
Оператор стеклоформующих машин в г.Алексин,80000,,RUR,Владимир,2022-12-14T09:37:40+0300
Токарь (Казань),103000,,RUR,Зеленодольск (Республика Татарстан),2022-12-14T07:45:09+0300
Токарь-расточник,100000,,RUR,Йошкар-Ола,2022-12-14T09:11:32+0300
Инженер-программист 1С,,,,Санкт-Петербург,2022-12-14T10:33:53+0300
Оператор станков с ПУ,45000,,RUR,Тверь,2022-12-14T08:28:11+0300
Методолог Департамента ЦОД и облачных сервисов,,,,Алматы,2022-12-14T07:13:43+0300
Инженер-программист,,,,Белгород,2022-12-14T09:01:10+0300
Ведущий разработчик Python (Middle),,,,Ростов-на-Дону,2022-12-14T07:50:46+0300
Старший системный администратор (Республика Крым),,70000,RUR,Симферополь,2022-12-14T10:49:12+0300
Инженер-программист 1С первой категории,,,,Набережные Челны,2022-12-14T11:49:03+0300
Руководитель проектов,,,,Москва,2022-12-14T10:23:35+0300
Старший механик ГОКа,170000,,RUR,Верхнеуральск,2022-12-14T09:35:33+0300
Токарь,70000,,RUR,Киров (Кировская область),2022-12-14T08:37:54+0300
Оператор ЧПУ,86000,,RUR,Киров (Кировская область),2022-12-14T09:05:24+0300
Консультант 1С:ERP в проектный офис в аккредитованную IT компанию,,,,Москва,2022-12-14T10:05:42+0300
Инженер по контролю за расходом ГСМ,35000,35000,RUR,Тюмень,2022-12-14T08:19:00+0300
Мастер по обслуживанию абонентов,35000,,RUR,Лиски,2022-12-14T08:59:10+0300
Токарь 4-6 разряда,50,65000,RUR,Тюмень,2022-12-14T07:16:02+0300
Equity research analyst,,,,Москва,2022-12-14T10:14:27+0300
Фрезеровщик,80000,,RUR,Санкт-Петербург,2022-12-14T10:57:02+0300
Automation QA Engineer,,,,Москва,2022-12-14T11:26:53+0300
Руководитель проекта (в г. Мурманск),,,,Северодвинск,2022-12-14T09:47:33+0300
Технический руководитель проектов,,,,Москва,2022-12-14T10:23:40+0300
Мастер,102800,102800,RUR,Иркутск,2022-12-14T06:45:45+0300
Инженер-электроник,,,,Волгодонск,2022-12-14T09:33:42+0300
Токарь ДИП 500,40000,106000,RUR,Серпухов,2022-12-14T11:32:37+0300
Токарь (Казань),103000,,RUR,Альметьевск,2022-12-14T07:45:09+0300
"Оператор наладчик станков с ЧПУ (Тамбовская область, г. Мичуринск)",115000,135000,RUR,Мичуринск,2022-12-14T07:59:41+0300
Team Lead DevOps специалист (SberData),,,,Москва,2022-12-14T09:53:47+0300
Разработчик в отдел сопровождения АСУТП,,,,Санкт-Петербург,2022-12-14T09:35:55+0300
Разработчик MS SharePoint,,,,Пермь,2022-12-14T10:37:01+0300
Главный разработчик .Net (Интернет банк КИБ),,,,Казань,2022-12-14T10:59:35+0300
Токарь (Казань),103000,,RUR,Оренбург,2022-12-14T07:45:09+0300
Специалист сопровождения,,,,Москва,2022-12-14T09:37:11+0300
Инженер-программист,,,,Петушки,2022-12-14T09:00:59+0300
Backend разработчик С++ в команду Транспорта,,,,Казань,2022-12-14T05:59:10+0300
Начальник ремонтно-механического цеха,60000,80000,RUR,Абакан,2022-12-14T04:26:44+0300
Механик по транспорту,80000,140000,RUR,Нижний Новгород,2022-12-14T11:42:01+0300
Системный администратор (торговля),60000,80000,RUR,Красноярск,2022-12-14T11:58:46+0300
Инженер поддержки коммуникационных платформ,,,,Ростов-на-Дону,2022-12-14T10:50:16+0300
"Специалист Консультант 1С (ТОИР – управление ремонтами, ERP)",,,,Арсеньев,2022-12-14T10:16:33+0300
Программист SQL,,,,Екатеринбург,2022-12-14T06:49:24+0300
"Lead Mobile QA (iOS, Android)",,,,Тбилиси,2022-12-14T11:10:02+0300
Оператор раскройного оборудования (лазерной установки),,,,Москва,2022-12-14T10:25:32+0300
Программист 1с Управление торговлей (удаленно),,,,Санкт-Петербург,2022-12-14T10:52:21+0300
Системный администратор,60000,,RUR,Москва,2022-12-14T10:35:19+0300
"Преподаватель выходного дня по программированию(на субботу-воскресенье), в город Конаев (Капчагай)",100000,180000,KZT,Алматы,2022-12-14T11:08:08+0300
Специалист технического обеспечения (телевизионная техника),52500,52500,RUR,Москва,2022-12-14T11:51:17+0300
Токарь-универсал,40000,,RUR,Тольятти,2022-12-14T10:11:06+0300
Оператор раскройного оборудования (листогибочного пресса),83400,,RUR,Москва,2022-12-14T10:25:37+0300
Технический специалист (объектные/проектные продажи),885,1760,USD,Актобе,2022-12-14T11:50:50+0300
Наладчик оборудования (Оператор TetraPak),50000,,RUR,Брянск,2022-12-14T10:58:41+0300
Регулировщик радиоэлектронной аппаратуры и приборов,60000,,RUR,Северодвинск,2022-12-14T09:46:10+0300
Бизнес-аналитик,,,,Белгород,2022-12-14T09:25:31+0300
Ведущий программист,,,,Нижний Новгород,2022-12-14T08:22:02+0300
Токарь в дивизион станкостроения,95000,125000,RUR,Нефтекамск,2022-12-14T10:42:56+0300
Системный администратор,70000,,RUR,Магадан,2022-12-14T11:52:17+0300
Разработчик 1С (ЗУП),,,,Рязань,2022-12-14T11:39:21+0300
Руководитель разработки технических устройств / Hardware Product Manager,,,,Москва,2022-12-14T11:53:44+0300
Ведущий специалист 1С,,,,Владивосток,2022-12-14T05:39:18+0300
Фрезеровщик,80000,,RUR,Нижнекамск,2022-12-14T09:02:08+0300
Наладчик,45000,75000,RUR,Белгород,2022-12-14T09:54:48+0300
Техник по эксплуатации зданий,45000,,RUR,Березовский (Свердловская область),2022-12-14T08:07:14+0300
Станочник широкого профиля,124774,145421,RUR,Ярославль,2022-12-14T11:30:21+0300
Консультант 1С ERP,,,,Ярославль,2022-12-14T08:08:03+0300
"Системный аналитик на модуль ""FLEXTERA. Расчеты""",,,,Москва,2022-12-14T10:07:32+0300
Эксперт по эксплуатации насосно-компрессорного оборудования (газопереработка),,,,Тюмень,2022-12-14T07:12:34+0300
Инженер по информационной безопасности,61000,62000,RUR,Санкт-Петербург,2022-12-14T10:46:33+0300
Менеджер по операционной аналитике (клиентский сервис),,,,Москва,2022-12-14T10:37:06+0300
2D художник-аниматор,,,,Сербия,2022-12-14T11:17:18+0300
Главный эксперт,,,,Москва,2022-12-14T11:42:15+0300
Оператор ЧПУ,86000,,RUR,Нижний Новгород,2022-12-14T09:05:24+0300
Токарь,,,,Санкт-Петербург,2022-12-14T09:44:34+0300
Наладчик технологического оборудования,40000,,RUR,Ярославль,2022-12-14T07:46:08+0300
Инженер-электроник,30000,,RUR,Димитровград,2022-12-14T08:24:17+0300
Наладчик оборудования,66000,,RUR,Ногинск,2022-12-14T09:17:34+0300
Токарь,110000,,RUR,Кострома,2022-12-14T10:20:53+0300
Электромеханик по средствам автоматики и приборам технологического оборудования,21300,,RUR,Борисоглебск,2022-12-14T10:46:17+0300
"Инженер-программист, Linux",130000,,RUR,Москва,2022-12-14T10:14:31+0300
Инженер-программист 1С,120000,,RUR,Челябинск,2022-12-14T10:08:58+0300
Системный аналитик (Т1 CRM),,,,Москва,2022-12-14T08:31:08+0300
Фрезеровщик 5 разряда,40000,,RUR,Саратов,2022-12-14T06:49:54+0300
Оператор листогибочного станка с ЧПУ,,,,Саратов,2022-12-14T10:57:52+0300
Токарь-расточник (Пермь),110000,,RUR,Туймазы,2022-12-14T09:26:26+0300
Ведущий специалист Отдела перестрахования,,,,Алматы,2022-12-14T09:51:43+0300
Lead DevOps Engineer,,,,Тбилиси,2022-12-14T11:47:56+0300
Специалист по аналитике в CVM (управление клиентской ценностью),,,,Алматы,2022-12-14T10:28:46+0300
Старший Бизнес-Аналитик в управленческом консалтинге (S&O T&L),,,,Санкт-Петербург,2022-12-14T11:29:48+0300
Инженер,55000,70000,RUR,Екатеринбург,2022-12-14T08:35:35+0300
Инженер-механик,,,,Лобня,2022-12-14T09:30:25+0300
Токарь-универсал,44000,,RUR,Первоуральск,2022-12-14T10:25:50+0300
Специалист по сопровождению банковского ПО,,,,Москва,2022-12-14T11:56:32+0300
"Аналитик в команду ""Миграции ДБО""",,,,Москва,2022-12-14T10:07:03+0300
Backend разработчик С++ в команду Транспорта,,,,Новосибирск,2022-12-14T05:59:10+0300
DevOps-инженер,,,,Москва,2022-12-14T09:31:14+0300
Системотехник,,45000,RUR,Ливны,2022-12-14T09:14:14+0300
Токарь (Казань),103000,,RUR,Лениногорск,2022-12-14T07:45:09+0300
Наладчик/ оператор фрезерных станков с ЧПУ/ЕСТЬ ВОЗМОЖНОСТЬ ОТСРОЧКИ ПО МОБИЛИЗАЦИИ,68000,79000,RUR,Томск,2022-12-14T04:28:19+0300
Токарь (Казань),103000,,RUR,Пермь,2022-12-14T07:45:09+0300
IOS Developer со знанием немецкого языка,,,,Минск,2022-12-14T11:48:38+0300
Senior Android Developer,350000,450000,RUR,Москва,2022-12-14T11:29:02+0300
Ведущий специалист технической поддержки,50000,,RUR,Южно-Сахалинск,2022-12-14T06:51:57+0300
Машиностроитель,140000,260000,KZT,Павлодар,2022-12-14T07:57:53+0300
Старший мастер по обслуживанию абонентов,28924,,RUR,Смоленск,2022-12-14T09:24:19+0300
Наладчик-оператор станков с ЧПУ,70000,,RUR,Златоуст,2022-12-14T06:36:43+0300
Ведущий специалист НСИ,100000,120000,RUR,Москва,2022-12-14T08:08:02+0300
Токарь-универсал,45000,,RUR,Октябрьский (Республика Башкортостан),2022-12-14T11:35:04+0300
Старший Бизнес-Аналитик в управленческом консалтинге (S&O T&L),,,,Москва,2022-12-14T11:29:39+0300
Токарь,50000,,RUR,Тверь,2022-12-14T08:28:30+0300
"Оператор наладчик станков с ЧПУ (Тамбовская область, г. Мичуринск)",115000,135000,RUR,Ульяновск,2022-12-14T08:01:44+0300
Токарь в дивизион станкостроения,95000,125000,RUR,Уфа,2022-12-14T10:42:56+0300
Главный бизнес-аналитик (кредитный конвейер),,,,Москва,2022-12-14T11:56:41+0300
Ночной специалист федерального контакт центра (входящие звонки),,27500,RUR,Старый Оскол,2022-12-14T10:02:27+0300
E2E Test Automation Engineer (Python),,,,Тбилиси,2022-12-14T11:45:30+0300
Специалист по информационной безопасности,,,,Москва,2022-12-14T11:52:22+0300
Главный специалист по серверному оборудованию,,,,Челябинск,2022-12-14T09:47:14+0300
Инженер технической поддержки системы виртуализации РЕД Виртуализация,,,,Муром,2022-12-14T10:06:05+0300
Токарь-расточник (Пермь),110000,,RUR,Чайковский,2022-12-14T09:26:26+0300
Главный специалист отдела информационной безопасности (IT),,,,Челябинск,2022-12-14T07:34:31+0300
PHP(Yii2) разработчик/Гибрид/Аккредитованная IT компания,150000,,RUR,Москва,2022-12-14T10:33:04+0300
Токарь-расточник,80000,,RUR,Санкт-Петербург,2022-12-14T09:34:20+0300
Главный аналитик проектов по предиктивной аналитике,,,,Москва,2022-12-14T11:49:26+0300
Инженер-наладчик слаботочных систем,55000,60000,RUR,Воскресенск,2022-12-14T09:06:39+0300
Системный администратор,,,,Химки,2022-12-14T09:33:17+0300
Технический специалист,50000,,RUR,Ковров,2022-12-14T11:32:20+0300
Инженер по нагрузочному тестированию (QA Performance & Load Engineer),250000,,RUR,Москва,2022-12-14T11:29:23+0300
Шлифовщик (на плоскошлифовальный станок),,46000,RUR,Волжский (Волгоградская область),2022-12-14T11:10:02+0300
Старший эксперт клиентского опыта,,,,Алматы,2022-12-14T07:13:46+0300
Токарь,35000,,RUR,Коркино,2022-12-14T11:18:15+0300
Embedded QA Engineer (CommPlatform),,,,Тбилиси,2022-12-14T11:43:48+0300
Заместитель главного механика (ПГР),,,,Пласт,2022-12-14T09:30:28+0300
Специалист по безопасности дорожного движения,76200,103100,RUR,Красноярск,2022-12-14T05:35:05+0300
Главный специалист по серверному оборудованию,,,,Томск,2022-12-14T09:48:23+0300
Токарь,25100,56150,RUR,Бийск,2022-12-14T04:22:12+0300
Продакт-маркетолог (PMM) на направление Автотовары,90000,,RUR,Владивосток,2022-12-14T02:57:28+0300
Шлифовщик (Ярославская область),100000,106000,RUR,Вологда,2022-12-14T07:58:38+0300
Team lead в Нефинансовые сервисы (Lifestyle),,,,Москва,2022-12-14T11:55:42+0300
Инженер-программист,25900,25900,RUR,Бийск,2022-12-14T04:22:11+0300
Администратор Exchange,,,,Москва,2022-12-14T09:25:21+0300
"Middle Game Designer (Hyper Casual, удаленно)",,,,Москва,2022-12-14T10:26:43+0300
Сервисный специалист/Механик (Омск),37200,37200,RUR,Омск,2022-12-14T09:38:10+0300
Шлифовщик (Ярославская область),100000,106000,RUR,Рыбинск,2022-12-14T07:58:38+0300
Токарь 6 разряда,39000,40000,RUR,Красноярск,2022-12-14T04:23:50+0300
Программист (ABAP-разработчик),,,,Тольятти,2022-12-14T11:02:22+0300
Токарь (Казань),103000,,RUR,Бугульма,2022-12-14T07:45:09+0300
Токарь,38800,,RUR,Можайск,2022-12-14T08:25:29+0300
Ведущий инженер-программист,,,,Санкт-Петербург,2022-12-14T09:19:15+0300
Сервисный специалист/Механик (Ханты-Мансийск),56500,56500,RUR,Ханты-Мансийск,2022-12-14T10:09:30+0300
Слесарь дорожно-строительной техники,50000,,RUR,Уфа,2022-12-14T06:58:54+0300
Фрезеровщик,45000,,RUR,Омск,2022-12-14T08:09:03+0300
Оператор станков с программным управлением (в автоматный цех),35000,45000,RUR,Вологда,2022-12-14T08:51:01+0300
Senior PHP developer,,,,Санкт-Петербург,2022-12-14T10:54:50+0300
Механик,80000,,RUR,Нижний Новгород,2022-12-14T11:42:01+0300
Программист 1С,,,,Иркутск,2022-12-14T04:38:10+0300
Токарь-универсал,35000,,RUR,Саратов,2022-12-14T10:26:16+0300
Менеджер проектов (эксплуатации сети),,,,Екатеринбург,2022-12-14T08:33:55+0300
Инженер-механик,,,,Дмитров,2022-12-14T09:30:25+0300
Проектировщик-разработчик решений для автоматизации учета в медицинских организациях,,,,Москва,2022-12-14T11:23:15+0300
Фрезеровщик,50000,,RUR,Тверь,2022-12-14T08:28:06+0300
Механик по ремонту бурового оборудования,80000,85000,RUR,Нижневартовск,2022-12-14T08:32:23+0300
Оператор станков с ЧПУ (токарно-карусельный станок с ЧПУ),,,,Пенза,2022-12-14T10:50:42+0300
Системный аналитик Microsoft Dynamics AX,,,,Санкт-Петербург,2022-12-14T10:18:53+0300
Инженер по гарантии,45000,65000,RUR,Екатеринбург,2022-12-14T08:37:57+0300
Эксперт по облачным решениям,100000,,RUR,Владивосток,2022-12-14T07:29:38+0300
"Оператор наладчик станков с ЧПУ (Тамбовская область, г. Мичуринск)",115000,135000,RUR,Челябинск,2022-12-14T08:01:10+0300
Инженер ПНР в г. Томск,,,,Кемерово,2022-12-14T08:35:59+0300
Оператор станка с ЧПУ,35000,50000,RUR,Владимир,2022-12-14T10:28:04+0300
Инженер-механик,,,,Москва,2022-12-14T09:30:25+0300
Наладчик токарных автоматов,40000,,RUR,Санкт-Петербург,2022-12-14T00:57:24+0300
"Разработчик 1С ERP, БУ",,,,Москва,2022-12-14T11:30:49+0300
Аналитик бизнес-процессов,,,,Белгород,2022-12-14T11:53:22+0300
Java-разработчик (middle/senior),,,,Бишкек,2022-12-14T10:50:32+0300
Шлифовщик (шлифовщица) по дереву,30000,45000,RUR,Чебоксары,2022-12-14T11:59:35+0300
Слесарь-ремонтник станков (Кинельский район),,,,Самара,2022-12-14T09:43:20+0300
Токарь-универсал,100000,130000,RUR,Мытищи,2022-12-14T09:35:36+0300
Токарь (Казань),103000,,RUR,Казань,2022-12-14T07:45:09+0300
"Резчик на пилах, ножовках и станках",,40000,RUR,Томск,2022-12-14T06:01:48+0300
Руководитель группы разработки (аккредитованная IT-компания),250000,,RUR,Хабаровск,2022-12-14T03:04:11+0300
Технический специалист (IT),180000,250000,KZT,Экибастуз,2022-12-14T09:53:03+0300
Механик по оборудованию,50000,,RUR,Челябинск,2022-12-14T01:28:09+0300
Ведущий консультант SAP WMS,,,,Москва,2022-12-14T10:34:11+0300
Токарь,35000,40000,RUR,Ангарск,2022-12-14T10:34:56+0300
Full-stack Yii2/PHP-разработчик,,200000,RUR,Екатеринбург,2022-12-14T07:23:54+0300
Старший специалист службы технической поддержки программного обеспечения,40000,70000,RUR,Ростов-на-Дону,2022-12-14T09:09:29+0300
Техник ОПС,25000,45000,RUR,Красноярск,2022-12-14T05:42:55+0300
Токарь,35000,40000,RUR,Усолье-Сибирское,2022-12-14T10:34:56+0300
Технический специалист,25000,35000,RUR,Самара,2022-12-14T10:21:37+0300
Наладчик технологического и электронного оборудования,51000,51000,RUR,Екатеринбург,2022-12-14T06:44:43+0300
Backend разработчик С++ в команду Транспорта,,,,Омск,2022-12-14T05:59:10+0300
Токарь-расточник,120000,,RUR,Йошкар-Ола,2022-12-14T08:55:25+0300
Начальник бюро АСУ ТП (Нефтегазовая отрасль),,,,Ижевск,2022-12-14T09:32:32+0300
Инженер (в отдел специальной защиты),25000,25000,RUR,Архангельск,2022-12-14T11:40:45+0300
Механик,60000,,RUR,Донецк,2022-12-14T10:11:54+0300
Токарь-расточник,50000,60000,RUR,Томск,2022-12-14T11:10:20+0300
Токарь,45000,,RUR,Северодвинск,2022-12-14T09:47:05+0300
Ведущий инженер-программист,,,,Волгоград,2022-12-14T11:00:36+0300
Системный аналитик (Платежи и переводы),,,,Москва,2022-12-14T11:33:04+0300
Наладчик оборудования в производстве пищевой продукции,55000,,RUR,Владимир,2022-12-14T10:30:42+0300
Программист 1C,130000,250000,RUR,Краснодар,2022-12-14T07:53:40+0300
Старший механик,120000,150000,RUR,Донецк,2022-12-14T03:29:51+0300
Эксперт по облачным решениям,100000,,RUR,Хабаровск,2022-12-14T07:29:38+0300
"Электромонтажник ОПС, видеонаблюдения, СКУД",45000,65000,RUR,Тюмень,2022-12-14T07:42:03+0300
Токарь ДИП 200 / ДИП 300,40000,106000,RUR,Серпухов,2022-12-14T11:32:27+0300
Технический верстальщик (Unity),,,,Астана,2022-12-14T10:11:50+0300
Механик по ремонту производственного оборудования,,86800,RUR,Москва,2022-12-14T08:27:11+0300
Менеджер по продажам цифровых решений,,,,Усть-Каменогорск,2022-12-14T09:45:19+0300
Начальник ремонтно-механического цеха,60000,80000,RUR,Омск,2022-12-14T04:26:44+0300
Android разработчик,3000,4500,EUR,Кипр,2022-12-14T11:18:35+0300
Токарь-фрезеровщик,,,,Новосибирск,2022-12-14T06:25:12+0300
Старший механик,120000,150000,RUR,Луганск,2022-12-14T03:17:09+0300
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,15000,39000,RUR,Москва,2022-12-14T08:37:35+0300
Системный администратор,45000,,RUR,Казань,2022-12-14T09:14:09+0300
Инженер по гарантии,45000,65000,RUR,Березовский (Свердловская область),2022-12-14T08:38:00+0300
Механик ТТО,50000,60000,RUR,Владивосток,2022-12-14T04:06:12+0300
Специалист по автоматизированному тестированию,,,,Санкт-Петербург,2022-12-14T11:57:40+0300
Главный специалист по серверному оборудованию,,,,Пермь,2022-12-14T07:32:51+0300
Backend разработчик (PHP),,,,Курск,2022-12-14T11:41:50+0300
Фрезеровщик,30000,,RUR,Нижний Новгород,2022-12-14T11:35:15+0300
Инженер DevOps,,,,Москва,2022-12-14T11:44:14+0300
Токарь-универсал,1000,,BYR,Смолевичи,2022-12-14T09:47:07+0300
